Sort,File,Comparisons,Exchanges,Execution Time,Input Type,Size
MergeSort,rev10K.dat,64608,133616,1472792,Reverse Order,10000
MergeSort,dup10K.dat,120413,133616,1781709,Random Order with Duplicates,10000
MergeSort,ran10K.dat,120483,133616,991375,Random Order,10000
QuickSortA,ran20K.dat,418467,69748,1108792,Random Order,20000
QuickSortA,dup20K.dat,427441,70292,1171750,Random Order with Duplicates,20000
QuickSortA,asc20K.dat,200029996,19998,158823875,Ascending Order,20000
QuickSortA,rev20K.dat,200019997,19999,139628500,Reverse Order,20000
QuickSortB,ran20K.dat,604735,385568,1057542,Random Order,20000
QuickSortB,dup20K.dat,619768,394291,1077583,Random Order with Duplicates,20000
QuickSortB,asc20K.dat,200024949,19999,158246083,Ascending Order,20000
QuickSortB,rev20K.dat,200019850,24949,137048709,Reverse Order,20000
QuickSortC,dup20K.dat,479419,226237,1026542,Random Order with Duplicates,20000
QuickSortC,ran20K.dat,470325,226538,974208,Random Order,20000
QuickSortC,asc20K.dat,200028724,19999,157387209,Ascending Order,20000
QuickSortC,rev20K.dat,200019925,21224,135906250,Reverse Order,20000
QuickSortD,ran20K.dat,366857,70533,1222167,Random Order,20000
QuickSortD,dup20K.dat,376646,70572,1210042,Random Order with Duplicates,20000
QuickSortD,asc20K.dat,326268,11807,238333,Ascending Order,20000
QuickSortD,rev20K.dat,326267,21806,269291,Reverse Order,20000
MergeSort,ran20K.dat,260994,287232,2165792,Random Order,20000
MergeSort,dup20K.dat,260891,287232,2775292,Random Order with Duplicates,20000
MergeSort,rev20K.dat,139216,287232,2001542,Reverse Order,20000
MergeSort,asc20K.dat,148016,287232,1124417,Ascending Order,20000
